Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,71,0,0,83.53,104.257,4.876934,0,0,0,0,0,0,85,85,0,0
0.09999999,B,0.09999999,0.03378454,0,1.0534,0,1002.861,70.63849,0.153229,0,83.08411,104.257,4.981848,424.665170614854,422.795570816371,39.804678511472,42.6512568279898,41.14993,3.881638,85,85,2.037692,0.1923493
0.2,B,0.2,0.07185051,0,0.9428717,0,1058.652,70.21406,0.6201994,0,82.63822,104.257,5.086762,452.776121359187,450.800123547746,42.2547592870441,86.3332974231288,84.96114,7.99611,85,85,8.320007,0.7842035
0.3,B,0.3,0.1126634,0,0.895788,0,1116.584,69.76579,1.448192,0,82.19234,104.257,5.191677,482.225481387641,480.137948171335,44.8214862020677,133.110382424124,131.645,12.3619,85,85,19.12601,1.799979
0.3999999,B,0.3999999,0.1561574,2.528887,0.9652442,1.503142,1176.046,69.29282,2.996228,4.938568,81.74645,103.0794,5.01952,512.630862406916,510.5821,45.78559,182.937051073896,181.332,16.84496,84.93351,84.6927,34.97398,3.259528
0.4999998,B,0.4999998,0.202405,1.706046,0.9268817,1.013446,1237.33,68.79456,4.830077,5.533504,81.30057,103.4421,5.209767,544.381789992552,541.9897,50.97743,235.903144259927,234.1117,21.68233,84.64047,84.70863,55.98411,5.181488
0.5999997,B,0.5999997,0.2515188,0.9061528,0.9046231,0.5520501,1300.125,68.27024,7.272521,4.618804,80.85468,103.8016,5.399268,577.264239948375,574.1575,59.80943,292.130849232943,290.0783,27.23396,84.1102,84.63651,82.44688,7.619857
0.6999996,B,0.6999996,0.3035956,0.1520647,0.9001162,0.1228026,1364.966,67.71924,10.53086,1.488014,80.40879,104.1531,5.586897,611.533894363765,607.243,72.31627,351.728028089299,349.3053,33.87681,83.42329,84.46058,114.6849,10.66492
0.7999995,B,0.7999995,0.3587397,-0.4112794,0.9068442,-0.2046359,1430.718,67.14076,14.79334,-3.44478,79.96291,104.0847,5.675714,646.65852066096,640.8531,86.45546,414.80312236028,411.8723,41.88734,82.7737,84.19299,153.0288,14.44141
0.8999994,B,0.8999994,0.4170277,-0.6006919,0.9162056,-0.3349187,1498.089,66.53439,20.16486,-7.584865,79.51702,103.9771,5.755308,682.928106606999,675.8712,97.92303,481.441421687388,477.8688,51.20774,82.41492,83.88361,197.8169,19.08686
0.9999993,B,0.9999993,0.4785672,-0.3641287,0.922844,-0.2233286,1566.781,65.8995,26.69782,-6.632862,79.07114,104.0691,5.881867,720.124068980408,712.8639,101.9987,551.758482396384,547.4734,61.29662,82.49051,83.61161,249.4015,24.70907
1.099999,B,1.099999,0.5434506,0.0690117,0.9320912,0.01594274,1636.66,65.23557,34.69885,0.6081435,78.62524,104.2434,6.027797,758.17015300449,751.7047,98.80296,625.85057483038,620.8836,71.35742,82.84571,83.44382,308.1542,31.34471
1.199999,B,1.199999,0.6117639,0.2781041,0.9460256,0.1528803,1707.937,64.54209,44.52049,7.360439,78.17936,104.1277,6.105494,797.249783102792,791.3534,96.78333,703.806981467259,698.233,81.06718,83.06237,83.37742,374.464,38.96747
