Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.8605595728439539678820944608,0.860559572843954,0.822573397561771,0.860559572843954,0.822573397561771,0,0,0,0,19.871963942444171775613833845,61.562990241373772260918858739,59.648324623358134556236453664,431960.4
0.02,0,0.7517178286902591282727640208,0.751717828690259,0.713731653408076,0.751717828690259,0.713731653408076,0,0,0,0,19.871963942444171775613833845,61.562990241373772260918858739,59.648324623358134556236453664,863920.8
0.03,0,0.6977730786397999547088894594,0.6977730786398,0.659786903357617,0.6977730786398,0.659786903357617,0,0,0,0,19.871963942444171775613833845,61.562990241373772260918858739,59.648324623358134556236453664,1295881
0.04,0,0.6631614299919392614632796233,0.663161429991939,0.625175254709756,0.663161429991939,0.625175254709756,0,0,0,0,19.871963942444171775613833845,61.562990241373772260918858739,59.648324623358134556236453664,1727842
0.05,0,0.6381914520397303965852851139,0.63819145203973,0.600205276757547,0.63819145203973,0.600205276757547,0,0,0,0,19.871963942444171775613833845,61.562990241373772260918858739,59.648324623358134556236453664,2159802
0.06,0,0.6189123794597029227115193953,0.618912379459703,0.58092620417752,0.618912379459703,0.58092620417752,0,0,0,0,19.871963942444171775613833845,61.562990241373772260918858739,59.648324623358134556236453664,2591762
0.07,0,0.6033510894400153105621088126,0.603351089440015,0.565364914157832,0.603351089440015,0.565364914157832,0,0,0,0,19.871963942444171775613833845,61.562990241373772260918858739,59.648324623358134556236453664,3023723
0.08,0,0.5903903070660067145347161155,0.590390307066007,0.552404131783824,0.590390307066007,0.552404131783824,0,0,0,0,19.871963942444171775613833845,61.562990241373772260918858739,59.648324623358134556236453664,3455683
0.09,0,0.5840343190233668466750361115,0.584034319023367,0.546048143741184,0.584034319023367,0.546048143741184,0,0,0,0,19.871963942444171775613833845,61.562990241373772260918858739,59.648324623358134556236453664,3887644
0.10,0,0.5824393171697795534820181309,0.58243931716978,0.544453141887596,0.58243931716978,0.544453141887596,0,0,0,0,19.871963942444171775613833845,61.562990241373772260918858739,59.648324623358134556236453664,4319604
