Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,1.2597379440690748459030567365,1.25973794406908,1.21715136693611,1.25973794406908,1.21715136693611,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,760368.6
0.02,0,1.1248023760756724855621434743,1.12480237607567,1.08221579894271,1.12480237607567,1.08221579894271,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,1520737
0.03,0,1.0578491422368009250080767748,1.0578491422368,1.01526256510383,1.0578491422368,1.01526256510383,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,2281106
0.04,0,1.0148749729680590634222735416,1.01487497296806,0.972288395835092,1.01487497296806,0.972288395835092,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,3041474
0.05,0,0.9838763643411771202608252499,0.983876364341177,0.94128978720821,0.983876364341177,0.94128978720821,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,3801843
0.06,0,0.9599569539842731174805048947,0.959956953984273,0.917370376851306,0.959956953984273,0.917370376851306,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,4562212
0.07,0,0.9406701874684397450324445658,0.94067018746844,0.898083610335473,0.94067018746844,0.898083610335473,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,5322580
0.08,0,0.9246301788003175621393043781,0.924630178800318,0.882043601667351,0.924630178800318,0.882043601667351,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,6082948
0.09,0,0.9176104615670337350471822920,0.917610461567034,0.875023884434067,0.917610461567034,0.875023884434067,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,6843318
0.10,0,0.9144432378706320002062890298,0.914443237870632,0.871856660737665,0.914443237870632,0.871856660737665,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,7603686
0.11,0,0.9143672449579426386114343874,0.914367244957943,0.871780667824976,0.914367244957943,0.871780667824976,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,8364054
0.12,0,0.9143077326084394564083852377,0.91430773260844,0.871721155475473,0.91430773260844,0.871721155475473,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,9124423
0.13,0,0.9142646318156986977196353769,0.914264631815699,0.871678054682732,0.914264631815699,0.871678054682732,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,9884791
0.14,0,0.9142383092029831657255203434,0.914238309202983,0.871651732070016,0.914238309202983,0.871651732070016,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,10645160
0.15,0,0.9142288799979809574977406932,0.914228879997981,0.871642302865014,0.914228879997981,0.871642302865014,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,11405530
0.16,0,0.9142365424024636308563718270,0.914236542402464,0.871649965269497,0.914236542402464,0.871649965269497,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,12165900
0.17,0,0.9142614280670385698428095548,0.914261428067039,0.871674850934072,0.914261428067039,0.871674850934072,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,12926270
0.18,0,0.9143039708305489146965090599,0.914303970830549,0.871717393697582,0.914303970830549,0.871717393697582,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,13686640
0.19,0,0.9143643345477714163864246413,0.914364334547771,0.871777757414805,0.914364334547771,0.871777757414805,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,14447000
0.20,0,0.9144428694800824166403862099,0.914442869480082,0.871856292347116,0.914442869480082,0.871856292347116,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,15207370
0.21,0,0.9145398230895324926411363051,0.914539823089532,0.871953245956566,0.914539823089532,0.871953245956566,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,15967740
0.22,0,0.9146555292446453619474597624,0.914655529244646,0.872068952111679,0.914655529244646,0.872068952111679,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,16728110
0.23,0,0.9147902354220614263532488219,0.914790235422062,0.872203658289095,0.914790235422062,0.872203658289095,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,17488480
0.24,0,0.9149446083199029614240618360,0.914944608319903,0.872358031186936,0.914944608319903,0.872358031186936,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,18248850
0.25,0,0.9151187790215911518043131968,0.915118779021591,0.872532201888624,0.915118779021591,0.872532201888624,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,19009210
0.26,0,0.9160139443708547180266555466,0.916013944370855,0.873427367237888,0.916013944370855,0.873427367237888,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,19769580
0.27,0,0.9169293570396850479328888500,0.916929357039685,0.874342779906718,0.916929357039685,0.874342779906718,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,20529950
0.28,0,0.9178655973552731572063004361,0.917865597355273,0.875279020222306,0.917865597355273,0.875279020222306,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,21290320
0.29,0,0.9188229478323731170777475509,0.918822947832373,0.876236370699406,0.918822947832373,0.876236370699406,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,22050690
0.30,0,0.9198018559967961918130087973,0.919801855996796,0.87721527886383,0.919801855996796,0.87721527886383,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,22811060
0.31,0,0.9208032399987845197229932211,0.920803239998784,0.878216662865818,0.920803239998784,0.878216662865818,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,23571430
0.32,0,0.9218273795667587666932065536,0.921827379566759,0.879240802433792,0.921827379566759,0.879240802433792,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,24331790
0.33,0,0.9228752764568094762209201217,0.922875276456809,0.880288699323843,0.922875276456809,0.880288699323843,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,25092160
0.34,0,0.9239472268182291349190393508,0.923947226818229,0.881360649685262,0.923947226818229,0.881360649685262,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,25852530
0.35,0,0.9250443488278718733959046022,0.925044348827872,0.882457771694905,0.925044348827872,0.882457771694905,0,0,0,0,34.384197865487151568444147504,101.78349239159129907303358866,100.15066816521667355574944168,26612900
