Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.8464474198853067293414421805,0.846447419885307,0.809332315483922,0.846447419885307,0.809332315483922,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,402374
0.02,0,0.7405127983951107250463738981,0.740512798395111,0.703397693993726,0.740512798395111,0.703397693993726,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,804748.1
0.03,0,0.6880863772813223774273150548,0.688086377281322,0.650971272879937,0.688086377281322,0.650971272879937,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,1207122
0.04,0,0.6544819832062147449475825691,0.654481983206215,0.61736687880483,0.654481983206215,0.61736687880483,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,1609496
0.05,0,0.6302570227623070576034536988,0.630257022762307,0.593141918360922,0.630257022762307,0.593141918360922,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,2011870
0.06,0,0.6115646566908537978450099133,0.611564656690854,0.574449552289469,0.611564656690854,0.574449552289469,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,2414244
0.07,0,0.5964850775563287078369897803,0.596485077556329,0.559369973154944,0.596485077556329,0.559369973154944,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,2816618
0.08,0,0.5839311904016840130416465297,0.583931190401684,0.546816086000299,0.583931190401684,0.546816086000299,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,3218992
0.09,0,0.5778418856345615003946574951,0.577841885634562,0.540726781233176,0.577841885634562,0.540726781233176,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,3621366
0.10,0,0.5765070256238541656917903463,0.576507025623854,0.539391921222469,0.576507025623854,0.539391921222469,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,4023740
0.11,0,0.5763241152182586181350517785,0.576324115218259,0.539209010816873,0.576324115218259,0.539209010816873,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,4426114
0.12,0,0.5761416204170148832767593434,0.576141620417015,0.53902651601563,0.576141620417015,0.53902651601563,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,4828488
0.13,0,0.5759597041441416982751413383,0.575959704144142,0.538844599742757,0.575959704144142,0.538844599742757,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,5230862
0.14,0,0.5757782011799245777941425711,0.575778201179925,0.538663096778539,0.575778201179925,0.538663096778539,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,5633236
0.15,0,0.5755972744634991495652554334,0.575597274463499,0.538482170062114,0.575597274463499,0.538482170062114,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,6035610
0.16,0,0.5754167587901415696133392209,0.575416758790142,0.538301654388756,0.575416758790142,0.538301654388756,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,6437984
0.17,0,0.5752366530381862942163812946,0.575236653038186,0.538121548636801,0.575236653038186,0.538121548636801,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,6840358
0.18,0,0.5750569560933038837689768972,0.575056956093304,0.537941851691919,0.575056956093304,0.537941851691919,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,7242733
0.19,0,0.5748778309241018732526728212,0.574877830924102,0.537762726522717,0.574877830924102,0.537762726522717,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,7645106
0.20,0,0.5746991123550697713849965774,0.57469911235507,0.537584007953684,0.57469911235507,0.537584007953684,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,8047481
0.21,0,0.5745207992935122240033734669,0.574520799293512,0.537405694892127,0.574520799293512,0.537405694892127,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,8449854
0.22,0,0.5743430547294845389029191197,0.574343054729484,0.537227950328099,0.574343054729484,0.537227950328099,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,8852229
0.23,0,0.5741655494330823712918627908,0.574165549433082,0.537050445031697,0.574165549433082,0.537050445031697,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,9254603
0.24,0,0.5739886104840239725936959394,0.573988610484024,0.536873506082639,0.573988610484024,0.536873506082639,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,9656977
0.25,0,0.5738122368176102082392477526,0.57381223681761,0.536697132416225,0.57381223681761,0.536697132416225,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,10059350
0.26,0,0.5740818928017620932857959153,0.574081892801762,0.536966788400377,0.574081892801762,0.536966788400377,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,10461720
0.27,0,0.5743517838083379199433652843,0.574351783808338,0.537236679406953,0.574351783808338,0.537236679406953,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,10864100
0.28,0,0.5746217447173633201888264087,0.574621744717363,0.537506640315978,0.574621744717363,0.537506640315978,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,11266470
0.29,0,0.5748917744912085973386002524,0.574891774491209,0.537776670089823,0.574891774491209,0.537776670089823,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,11668850
0.30,0,0.5751617080232085151064668227,0.575161708023208,0.538046603621823,0.575161708023208,0.538046603621823,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,12071220
0.31,0,0.5754318724402554802577424257,0.575431872440256,0.53831676803887,0.575431872440256,0.53831676803887,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,12473600
0.32,0,0.5757021026487725776677239558,0.575702102648772,0.538586998247387,0.575702102648772,0.538586998247387,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,12875970
0.33,0,0.5759723976373060990673098104,0.575972397637306,0.538857293235921,0.575972397637306,0.538857293235921,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,13278340
0.34,0,0.5762427564008118765657129401,0.576242756400812,0.539127651999427,0.576242756400812,0.539127651999427,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,13680720
0.35,0,0.5765133420162646496571180425,0.576513342016265,0.539398237614879,0.576513342016265,0.539398237614879,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,14083090
0.36,0,0.5767838253399539157935512174,0.576783825339954,0.539668720938569,0.576783825339954,0.539668720938569,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,14485470
0.37,0,0.5770543694614107137697433071,0.577054369461411,0.539939265060026,0.577054369461411,0.539939265060026,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,14887840
0.38,0,0.5773251374763643323214151498,0.577325137476364,0.540210033074979,0.577325137476364,0.540210033074979,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,15290210
0.39,0,0.5775959643353695389947255394,0.57759596433537,0.540480859933984,0.57759596433537,0.540480859933984,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,15692590
0.40,0,0.5778666849950781888572963838,0.577866684995078,0.540751580593693,0.577866684995078,0.540751580593693,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,16094960
0.41,0,0.5781376266451828557601125936,0.578137626645183,0.541022522243798,0.578137626645183,0.541022522243798,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,16497340
0.42,0,0.5784086242543862185439862529,0.578408624254386,0.541293519853001,0.578408624254386,0.541293519853001,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,16899710
0.43,0,0.5786796768730037638318018882,0.578679676873004,0.541564572471619,0.578679676873004,0.541564572471619,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,17302080
0.44,0,0.5789507835572551189592422933,0.578950783557255,0.54183567915587,0.578950783557255,0.54183567915587,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,17704460
0.45,0,0.5792219433692159490995714872,0.579221943369216,0.542106838967831,0.579221943369216,0.542106838967831,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,18106830
0.46,0,0.5794933194524313000765501972,0.579493319452431,0.542378215051046,0.579493319452431,0.542378215051046,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,18509210
0.47,0,0.5797645827292165145911577026,0.579764582729217,0.542649478327831,0.579764582729217,0.542649478327831,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,18911580
0.48,0,0.5800358963545936116063628722,0.580035896354594,0.542920791953208,0.580035896354594,0.542920791953208,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,19313950
0.49,0,0.5803074234892516010584695578,0.580307423489252,0.543192319087866,0.580307423489252,0.543192319087866,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,19716330
0.50,0,0.5805789991481751722673566031,0.580578999148175,0.54346389474679,0.580578999148175,0.54346389474679,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,20118700
0.51,0,0.5808506224275902538011270470,0.58085062242759,0.543735518026205,0.58085062242759,0.543735518026205,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,20521080
0.52,0,0.5811222924292574267332626279,0.581122292429258,0.544007188027872,0.581122292429258,0.544007188027872,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,20923450
0.53,0,0.5813940082604247695073215465,0.581394008260425,0.54427890385904,0.581394008260425,0.54427890385904,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,21325820
0.54,0,0.5816657690337850483010926617,0.581665769033785,0.5445506646324,0.581665769033785,0.5445506646324,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,21728200
0.55,0,0.5819377379430987552081777922,0.581937737943099,0.544822633541714,0.581937737943099,0.544822633541714,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,22130570
0.56,0,0.5822095859604939346171196585,0.582209585960494,0.545094481559109,0.582209585960494,0.545094481559109,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,22532950
0.57,0,0.5824816403660672447041674400,0.582481640366067,0.545366535964682,0.582481640366067,0.545366535964682,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,22935320
0.58,0,0.5827537362182022664608321179,0.582753736218202,0.545638631816817,0.582753736218202,0.545638631816817,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,23337690
0.59,0,0.5830258726561775232324224201,0.583025872656178,0.545155544763687,0.583025872656178,0.545155544763687,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,23740070
0.60,0,0.5832980488244641636128160774,0.583298048824464,0.544672497440868,0.583298048824464,0.544672497440868,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,24142440
0.61,0,0.5843660308395186021922983279,0.584366030839519,0.544985255964816,0.584366030839519,0.544985255964816,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,24544820
0.62,0,0.5854050094968381477128939111,0.585405009496838,0.54526901113103,0.585405009496838,0.54526901113103,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,24947190
0.63,0,0.5864435331216332751630424158,0.586443533121633,0.54555231126472,0.586443533121633,0.54555231126472,0,0,0,0,19.328276106112261985093163123,57.592529255206095682177202278,56.003190296614997189066013128,25349560
